db_id,question,query
cre_doc_template_mgt,"what are the ids and names of each document, as well as the number of paragraphs in each?","select t1.document_id ,  t2.document_name ,  count(*) from paragraphs as t1 join documents as t2 on t1.document_id  =  t2.document_id group by t1.document_id"
car_1,what is the average miles per gallon of all the cards with 4 cylinders?,select avg(mpg) from cars_data where cylinders  =  4;
university_basketball,return the maximum enrollment across all schools.,select max(enrollment) from university
college_2,what is the course title of the prerequisite of course mobile computing?,select title from course where course_id in (select t1.prereq_id from prereq as t1 join course as t2 on t1.course_id  =  t2.course_id where t2.title  =  'mobile computing')
bike_1,list the name and the number of stations for all the cities that have at least 15 stations.,"select city ,  count(*) from station group by city having count(*)  >=  15"
film_rank,list the title of films that do not have any market estimation.,select title from film where film_id not in (select film_id from film_market_estimation)
device,"what are the carriers of devices whose software platforms are not ""android""?",select carrier from device where software_platform != 'android'
roller_coaster,what are the speeds of the longest roller coaster?,select speed from roller_coaster order by length desc limit 1
poker_player,how many poker players are there?,select count(*) from poker_player
flight_2,which city is the most frequent source airport?,select t1.city from airports as t1 join flights as t2 on t1.airportcode  =  t2.sourceairport group by t1.city order by count(*) desc limit 1
flight_4,find the id of routes whose source and destination airports are in the united states.,select rid from routes where dst_apid in (select apid from airports where country  =  'united states') and src_apid in (select apid from airports where country  =  'united states')
scholar,keyphrases used by christof dallermassl in 2000,"select distinct t2.keyphraseid from paper as t3 join paperkeyphrase as t2 on t3.paperid  =  t2.paperid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t1.authorname  =  ""christof dallermassl"" and t3.year  =  2000;"
college_3,what is the maximum and minimum grade point of students who live in nyc?,"select max(t2.gradepoint) ,  min(t2.gradepoint) from enrolled_in as t1 join gradeconversion as t2 join student as t3 on t1.grade  =  t2.lettergrade and t1.stuid  =  t3.stuid where t3.city_code  =  ""nyc"""
e_learning,list the name and the number of enrolled student for each course.,"select t1.course_name ,  count(*) from courses as t1 join student_course_enrolment as t2 on t1.course_id  =  t2.course_id group by t1.course_name"
yelp,how many reviews has niloofar written in 2015,"select count ( distinct t1.text ) from user as t2 join review as t1 on t2.user_id  =  t1.user_id where t1.year  =  2015 and t2.name  =  ""niloofar"";"
phone_market,what are the memories and carriers of phones?,"select memory_in_g ,  carrier from phone"
flight_1,show the flight number of flights with three lowest distances.,select flno from flight order by distance asc limit 3
e_learning,"list the subject id, name of subject and the number of courses available for each subject in ascending order of the course counts.","select t1.subject_id ,  t2.subject_name ,  count(*) from courses as t1 join subjects as t2 on t1.subject_id  =  t2.subject_id group by t1.subject_id order by count(*) asc"
storm_record,show all region code and region name sorted by the codes.,"select region_code ,  region_name from region order by region_code"
college_3,what are the maximum and minumum grade points?,"select max(gradepoint) ,  min(gradepoint) from gradeconversion"
e_learning,"what are the completion dates of all the tests that have result ""fail""?","select t1.date_of_completion from student_course_enrolment as t1 join student_tests_taken as t2 on t1.registration_id  =  t2.registration_id where t2.test_result  =  ""fail"""
culture_company,how many books fall into each category?,"select category ,  count(*) from book_club group by category"
yelp,"list all tips for "" cafe zinho "" in pennsylvania in 2010 .","select t2.text from tip as t2 join business as t1 on t2.business_id  =  t1.business_id where t1.name  =  ""cafe zinho"" and t1.state  =  ""pennsylvania"" and t2.year  =  2010;"
museum_visit,what is the name of the museum that had no visitor yet?,select name from museum where museum_id not in (select museum_id from visit)
apartment_rentals,"return the apartment numbers of the apartments with type code ""flat"".","select apt_number from apartments where apt_type_code  =  ""flat"""
scholar,datasets with semantic parsing information,"select distinct t2.datasetid from paperdataset as t3 join dataset as t2 on t3.datasetid  =  t2.datasetid join paperkeyphrase as t1 on t1.paperid  =  t3.paperid join keyphrase as t4 on t1.keyphraseid  =  t4.keyphraseid where t4.keyphrasename  =  ""semantic parsing"";"
geo,what are all the rivers in illinois,"select river_name from river where traverse  =  ""illinois"";"
scholar,tail papers in nips,"select distinct t3.paperid from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid join venue as t4 on t4.venueid  =  t3.venueid where t1.keyphrasename  =  ""tail"" and t4.venuename  =  ""nips"";"
geo,what is the largest city in wyoming,"select city_name from city where population  =  ( select max ( population ) from city where state_name  =  ""wyoming"" ) and state_name  =  ""wyoming"";"
insurance_policies,"of all the claims, what was the earliest date when any claim was made?",select date_claim_made from claims order by date_claim_made asc limit 1
sakila_1,count the number of customers who are active.,select count(*) from customer where active = '1'
dog_kennels,"which professional did not operate any treatment on dogs? list the professional's id, role and email.","select professional_id ,  role_code ,  email_address from professionals except select t1.professional_id ,  t1.role_code ,  t1.email_address from professionals as t1 join treatments as t2 on t1.professional_id  =  t2.professional_id"
flight_1,what are the numbers of all flights coming from los angeles?,"select flno from flight where origin  =  ""los angeles"""
tracking_orders,find the invoice numbers which are created before 1989-09-03 or after 2007-12-25.,"select invoice_number from invoices where invoice_date < ""1989-09-03"" or invoice_date > ""2007-12-25"""
activity_1,which rank has the smallest number of faculty members?,select rank from faculty group by rank order by count(*) asc limit 1
ship_1,what are the names of ships that are commanded by both captains with the rank of midshipman and captains with the rank of lieutenant?,select t1.name from ship as t1 join captain as t2 on t1.ship_id  =  t2.ship_id where t2.rank  =  'midshipman' intersect select t1.name from ship as t1 join captain as t2 on t1.ship_id  =  t2.ship_id where t2.rank  =  'lieutenant'
geo,what is the population of california,"select population from state where state_name  =  ""california"";"
document_management,find the total access count of all documents in the most popular document type.,select sum(access_count) from documents group by document_type_code order by count(*) desc limit 1
college_2,give the title and credits for the course that is taught in the classroom with the greatest capacity.,"select t3.title ,  t3.credits from classroom as t1 join section as t2 on t1.building  =  t2.building and t1.room_number  =  t2.room_number join course as t3 on t2.course_id  =  t3.course_id where t1.capacity  =  (select max(capacity) from classroom)"
club_1,"where is the club ""pen and paper gaming"" located?","select clublocation from club where clubname  =  ""pen and paper gaming"""
workshop_paper,"which authors with submissions are from college ""florida"" or ""temple""?","select author from submission where college  =  ""florida"" or college  =  ""temple"""
battle_death,what are the distinct battle names which are between bulgarian commander 'kaloyan' and latin commander 'baldwin i'?,select name from battle where bulgarian_commander  =  'kaloyan' and latin_commander  =  'baldwin i'
network_2,what are the names of all females who are friends with zach?,select t1.name from person as t1 join personfriend as t2 on t1.name  =  t2.name where t2.friend  =  'zach' and t1.gender  =  'female'
club_1,"who is the ""cto"" of club ""hopkins student enterprises""? show the first name and last name.","select t3.fname ,  t3.lname from club as t1 join member_of_club as t2 on t1.clubid  =  t2.clubid join student as t3 on t2.stuid  =  t3.stuid where t1.clubname  =  ""hopkins student enterprises"" and t2.position  =  ""cto"""
product_catalog,which catalog contents has price above 700 dollars? show their catalog entry names and capacities.,"select catalog_entry_name ,  capacity from catalog_contents where price_in_dollars  >  700"
music_2,"what is the first and last name of the artist who performed back stage for the song ""der kapitan""?","select t2.firstname ,  t2.lastname from performance as t1 join band as t2 on t1.bandmate  =  t2.id join songs as t3 on t3.songid  =  t1.songid where t3.title  =  ""der kapitan"" and t1.stageposition  =  ""back"""
geo,what is the capital of the largest state,select capital from state where area  =  ( select max ( area ) from state );
college_2,what is the year and semester with the most courses?,"select semester ,  year from section group by semester ,  year order by count(*) desc limit 1"
flight_4,which countries has the most number of airlines?,select country from airlines group by country order by count(*) desc limit 1
geo,what is the biggest city in the usa,select city_name from city where population  =  ( select max ( population ) from city );
college_1,what is the total credit does each department offer?,"select sum(crs_credit) ,  dept_code from course group by dept_code"
customers_and_addresses,"find all the addresses in east julianaside, texas or in gleasonmouth, arizona.","select address_content from addresses where city  =  ""east julianaside"" and state_province_county  =  ""texas"" union select address_content from addresses where city  =  ""gleasonmouth"" and state_province_county  =  ""arizona"""
driving_school,what is the total time for all lessons taught by janessa sawayn?,"select sum(lesson_time) from lessons as t1 join staff as t2 on t1.staff_id = t2.staff_id where t2.first_name = ""janessa"" and t2.last_name = ""sawayn"";"
document_management,what are the usernames and passwords of users that have the most common role?,"select user_name ,  password from users group by role_code order by count(*) desc limit 1"
icfp_1,retrieve all the first and last names of authors in the alphabetical order of last names.,"select fname ,  lname from authors order by lname"
election,show the delegates and the names of the party they belong to.,"select t1.delegate ,  t2.party from election as t1 join party as t2 on t1.party  =  t2.party_id"
employee_hire_evaluation,find the cities that have more than one employee under age 30.,select city from employee where age  <  30 group by city having count(*)  >  1
imdb,"what is the number of movies that "" brad pitt "" acts in per year ?","select count ( distinct t2.title  )  ,  t2.release_year from cast as t3 join actor as t1 on t3.aid  =  t1.aid join movie as t2 on t2.mid  =  t3.msid where t1.name  =  ""brad pitt"" group by t2.release_year;"
shop_membership,what are the names and cities of the branches that do not have any registered members?,"select name ,  city from branch where branch_id not in (select branch_id from membership_register_branch)"
tvshow,what are the countries that have cartoons on tv that were written by todd casey?,select t1.country from tv_channel as t1 join cartoon as t2 on t1.id = t2.channel where t2.written_by  =  'todd casey'
dog_kennels,"give me the id, role and email of the professionals who did not perform any treatment on dogs.","select professional_id ,  role_code ,  email_address from professionals except select t1.professional_id ,  t1.role_code ,  t1.email_address from professionals as t1 join treatments as t2 on t1.professional_id  =  t2.professional_id"
college_1,how many professors attained either ph.d. or masters degrees?,select count(*) from professor where prof_high_degree  =  'ph.d.' or prof_high_degree  =  'ma'
scholar,how many papers use imagenet ?,"select distinct count ( distinct t3.paperid ) from paperdataset as t2 join dataset as t1 on t2.datasetid  =  t1.datasetid join paper as t3 on t3.paperid  =  t2.paperid where t1.datasetname like ""imagenet"";"
restaurants,where is the best american restaurant in the bay area ?,"select t3.house_number  ,  t1.name from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name join location as t3 on t1.id  =  t3.restaurant_id where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" and t1.rating  =  ( select max ( t1.rating ) from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" );"
game_injury,how many distinct kinds of injuries happened after season 2010?,select count(distinct t1.injury) from injury_accident as t1 join game as t2 on t1.game_id  =  t2.id where t2.season  >  2010
voter_1,"what are the create dates, states, and phone numbers of the votes that were for the contestant named 'tabatha gehling'?","select t2.created ,  t2.state ,  t2.phone_number from contestants as t1 join votes as t2 on t1.contestant_number  =  t2.contestant_number where t1.contestant_name  =  'tabatha gehling'"
customers_and_invoices,count the number of customers.,select count(*) from customers
student_1,what are the grade number and classroom number of each class in the list?,"select distinct classroom ,  grade from list"
race_track,"what are the names, classes, and dates for all races?","select name ,  class ,  date from race"
voter_2,what are the distinct registration dates and the election cycles?,"select distinct registration_date ,  election_cycle from voting_record"
medicine_enzyme_interaction,how many medicines have the fda approval status 'no' ?,select count(*) from medicine where fda_approved  =  'no'
e_learning,"find the subject id, name of subject and the corresponding number of courses for each subject, and sort by the course count in ascending order.","select t1.subject_id ,  t2.subject_name ,  count(*) from courses as t1 join subjects as t2 on t1.subject_id  =  t2.subject_id group by t1.subject_id order by count(*) asc"
student_assessment,how many courses do the student whose id is 171 attend?,select count(*) from courses as t1 join student_course_attendance as t2 on t1.course_id = t2.course_id where t2.student_id = 171
movie_1,how many movies were made before 2000?,select count(*) from movie where year  <  2000
hospital_1,which patient is undergoing the most recent treatment?,select patient from undergoes order by dateundergoes limit 1
student_transcripts_tracking,what are the names of all courses that have some students enrolled?,select distinct t1.course_name from courses as t1 join student_enrolment_courses as t2 on t1.course_id  =  t2.course_id
shop_membership,show the member name and hometown who registered a branch in 2016.,"select t2.name ,  t2.hometown from membership_register_branch as t1 join member as t2 on t1.member_id  =  t2.member_id where t1.register_year  =  2016"
bike_1,what are the ids of stations that have latitude above 37.4 and never had bike availability below 7?,select id from station where lat  >  37.4 except select station_id from status group by station_id having min(bikes_available)  <  7
geo,which state has the most people,select state_name from state where population  =  ( select max ( population ) from state );
world_1,what is the total population of gelderland district?,"select sum(population) from city where district  =  ""gelderland"""
ship_1,return the flag that is most common among all ships.,select flag from ship group by flag order by count(*) desc limit 1
soccer_2,how many states have a college with more students than average?,select count(distinct state) from college where enr  >  (select avg(enr) from college)
machine_repair,what is the team and starting year for each technician?,"select team ,  starting_year from technician"
college_2,find the title of courses that have two prerequisites?,select t1.title from course as t1 join prereq as t2 on t1.course_id  =  t2.course_id group by t2.course_id having count(*)  =  2
school_finance,list the names of the schools without any endowment.,select school_name from school where school_id not in (select school_id from endowment)
wta_1,find the name of the winner who has the highest rank points and participated in the australian open tourney.,select winner_name from matches where tourney_name  =  'australian open' order by winner_rank_points desc limit 1
scholar,character recognition papers before 2010,"select distinct t3.paperid from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""character recognition"" and t3.year  <  2010;"
student_assessment,list the first names of people in alphabetical order?,select first_name from people order by first_name
party_people,show the minister who took office after 1961 or before 1959.,select minister from party where took_office  >  1961 or took_office  <  1959
car_1,"for a volvo model, how many cylinders does the version with least accelerate have?",select t1.cylinders from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.model  =  'volvo' order by t1.accelerate asc limit 1;
election_representative,what are the names of representatives in descending order of votes?,select t2.name from election as t1 join representative as t2 on t1.representative_id  =  t2.representative_id order by votes desc
candidate_poll,find the name of the candidates whose oppose percentage is the lowest for each sex.,"select t1.name ,  t1.sex ,  min(oppose_rate) from people as t1 join candidate as t2 on t1.people_id  =  t2.people_id group by t1.sex"
orchestra,show the names of conductors that have conducted more than one orchestras.,select t1.name from conductor as t1 join orchestra as t2 on t1.conductor_id  =  t2.conductor_id group by t2.conductor_id having count(*)  >  1
dog_kennels,find the number of professionals who have not treated any dogs.,select count(*) from professionals where professional_id not in ( select professional_id from treatments )
soccer_2,which colleges do the tryout players whose name starts with letter d go to?,select t1.cname from  tryout as t1 join player as t2 on t1.pid  =  t2.pid where t2.pname like 'd%'
dorm_1,how many girl students who are younger than 25?,select count(*) from student where sex  =  'f' and age  <  25
tracking_orders,"list the names of customers who have once canceled the purchase of the product ""food"" (the item status is ""cancel"").","select t1.customer_name from customers as t1 join orders as t2 join order_items as t3 join products as t4 on t1.customer_id = t2.customer_id and t2.order_id = t3.order_id and t3.product_id = t4.product_id where t3.order_item_status = ""cancel"" and t4.product_name = ""food"" group by t1.customer_id having count(*)  >=  1"
dog_kennels,who owns the youngest dog? give me his or her last name.,select t1.last_name from owners as t1 join dogs as t2 on t1.owner_id  =  t2.owner_id where t2.age  =  ( select max(age) from dogs )
geo,what is the most dense state in the usa,select state_name from state where density  =  ( select max ( density ) from state );
geo,what is the shortest river in the usa,select river_name from river where length  =  ( select min ( length ) from river );
customers_and_invoices,"what is the average, minimum, maximum, and total transaction amount?","select avg(transaction_amount) ,  min(transaction_amount) ,  max(transaction_amount) ,   sum(transaction_amount) from financial_transactions"
match_season,how many players are from each country?,"select country_name ,  count(*) from country as t1 join match_season as t2 on t1.country_id  =  t2.country group by t1.country_name"
loan_1,find the name of customers who do not have an saving account.,select cust_name from customer except select cust_name from customer where acc_type  =  'saving'
flight_4,"what is the name, city, and country of the airport with the lowest altitude?","select name ,  city ,  country from airports order by elevation limit 1"
poker_player,what are the names of people who do not play poker?,select name from people where people_id not in (select people_id from poker_player)
product_catalog,find the entry names of the catalog with the attribute that have the most entries.,select t1.catalog_entry_name from catalog_contents as t1 join catalog_contents_additional_attributes as t2 on t1.catalog_entry_id  =  t2.catalog_entry_id where t2.attribute_value  =  (select attribute_value from catalog_contents_additional_attributes group by attribute_value order by count(*) desc limit 1)
epinions_1,find the average and maximum rating of all reviews.,"select avg(rating) ,  max(rating) from review"
bike_1,what are the different names for each station that has ever had 7 bikes available?,select distinct t1.name from station as t1 join status as t2 on t1.id  =  t2.station_id where t2.bikes_available  =  7
gymnast,show the hometowns shared by people older than 23 and younger than 20.,select hometown from people where age  >  23 intersect select hometown from people where age  <  20
party_host,"show the first year and last year of parties with theme ""spring"" or ""teqnology"".","select first_year ,  last_year from party where party_theme  =  ""spring"" or party_theme  =  ""teqnology"""
debate,what are the date and venue of each debate?,"select date ,  venue from debate"
hospital_1,what are the names of procedures physician john wen was trained in?,"select t3.name from physician as t1 join trained_in as t2 on t1.employeeid  =  t2.physician join procedures as t3 on t3.code  =  t2.treatment where t1.name  =  ""john wen"""
cre_doc_tracking_db,"which employees have the role with code ""hr""? find their names.","select employee_name from employees where role_code  =  ""hr"""
theme_gallery,show all artist names and the number of exhibitions for each artist.,"select t2.name ,  count(*) from exhibition as t1 join artist as t2 on t1.artist_id  =  t2.artist_id group by t1.artist_id"
twitter_1,find the average number of followers for the users who had some tweets.,select avg(followers) from user_profiles where uid in (select uid from tweets)
formula_1,find all the forenames of distinct drivers who won in position 1 as driver standing and had more than 20 points?,select distinct t1.forename from drivers as t1 join driverstandings as t2 on t1.driverid = t2.driverid where t2.position = 1 and t2.wins = 1 and t2.points > 20
baseball_1,"how many games in 1885 postseason resulted in ties (that is, the value of ""ties"" is '1')?",select count(*) from postseason where year  =  1885 and ties  =  1;
college_1,how many unique classes are offered?,select count(distinct class_code) from class
department_store,give the id and product type of the product with the lowest price.,"select product_id ,  product_type_code from products order by product_price limit 1"
dorm_1,find the first name of students who are living in the dorm that has most number of amenities.,select t1.fname from student as t1 join lives_in as t2 on t1.stuid  =  t2.stuid where t2.dormid in (select t2.dormid from dorm as t3 join has_amenity as t4 on t3.dormid  =  t4.dormid join dorm_amenity as t5 on t4.amenid  =  t5.amenid group by t3.dormid order by count(*) desc limit 1)
soccer_2,who are the players that have names containing the letter a?,select distinct pname from player where pname like '%a%'
match_season,what are the different positions for match season?,select distinct position from match_season
party_people,return the minister who left office at the latest time.,select minister from party order by left_office desc limit 1
geo,what is the lowest elevation in pennsylvania,"select lowest_elevation from highlow where state_name  =  ""pennsylvania"";"
music_1,what is the name of the artist who produced the shortest song?,select t1.artist_name from song as t1 join files as t2 on t1.f_id  =  t2.f_id order by t2.duration limit 1
chinook_1,please show the employee first names and ids of employees who serve at least 10 customers.,"select t1.firstname ,  t1.supportrepid from customer as t1 join employee as t2 on t1.supportrepid  =  t2.employeeid group by t1.supportrepid having count(*)  >=  10"
manufacturer,find the component amounts and names of all furnitures that have more than 10 components.,"select num_of_component ,  name from furniture where num_of_component  >  10"
tracking_orders,find the ids of all the order items whose product id is 11.,select order_item_id from order_items where product_id = 11
formula_1,find the id and surname of the driver who participated the most number of races?,"select t1.driverid ,  t1.surname from drivers as t1 join results as t2 on t1.driverid = t2.driverid join races as t3 on t2.raceid = t3.raceid group by t1.driverid order by count(*) desc limit 1"
scholar,how many citations does noah a smith have,"select distinct count ( t4.citedpaperid ) from paper as t3 join cite as t4 on t3.paperid  =  t4.citedpaperid join writes as t2 on t2.paperid  =  t3.paperid join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""noah a smith"";"
customers_card_transactions,"what is the first name, last name, and phone of the customer with card 4560596484842.","select t2.customer_first_name ,  t2.customer_last_name ,  t2.customer_phone from customers_cards as t1 join customers as t2 on t1.customer_id  =  t2.customer_id where t1.card_number  =  ""4560596484842"""
scientist_1,"list all the scientists' names, their projects' names, and the hours worked by that scientist on each project, in alphabetical order of project name, and then scientist name.","select t1.name ,  t3.name ,  t3.hours from scientists as t1 join assignedto as t2 on t1.ssn = t2.scientist join projects as t3 on t2.project = t3.code order by t3.name ,  t1.name"
climbing,show names of climbers and the names of mountains they climb.,"select t1.name ,  t2.name from climber as t1 join mountain as t2 on t1.mountain_id  =  t2.mountain_id"
flight_4,how many different cities do have some airport in the country of greenland?,select count(distinct city) from airports where country  =  'greenland'
ship_mission,list the name of ships in ascending order of tonnage.,select name from ship order by tonnage asc
academic,"return me the papers in vldb conference containing keyword "" information retrieval "" .","select t4.title from publication_keyword as t3 join keyword as t1 on t3.kid  =  t1.kid join publication as t4 on t4.pid  =  t3.pid join conference as t2 on t4.cid  =  t2.cid where t2.name  =  ""vldb"" and t1.keyword  =  ""information retrieval"";"
scholar,papers by sharon goldwater,"select distinct t2.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""sharon goldwater"";"
scholar,show me papers by sharon goldwater .,"select distinct t2.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""sharon goldwater"";"
college_1,what is the average gpa of the students enrolled in the course with code acct-211?,select avg(t2.stu_gpa) from enroll as t1 join student as t2 on t1.stu_num  =  t2.stu_num join class as t3 on t1.class_code  =  t3.class_code where t3.crs_code  =  'acct-211'
document_management,return the structure description of the document that has been accessed the fewest number of times.,select t2.document_structure_description from documents as t1 join document_structures as t2 on t1.document_structure_code  =  t2.document_structure_code group by t1.document_structure_code order by count(*) desc limit 1
imdb,"find all movies directed by "" asghar farhadi "" and featuring "" taraneh alidoosti ""","select t4.title from cast as t5 join actor as t1 on t5.aid  =  t1.aid join movie as t4 on t4.mid  =  t5.msid join directed_by as t2 on t4.mid  =  t2.msid join director as t3 on t3.did  =  t2.did where t1.name  =  ""taraneh alidoosti"" and t3.name  =  ""asghar farhadi"";"
club_1,"which clubs have one or more members from the city with code ""hou""? give me the names of the clubs.","select distinct t1.clubname from club as t1 join member_of_club as t2 on t1.clubid  =  t2.clubid join student as t3 on t2.stuid  =  t3.stuid where t3.city_code  =  ""hou"""
imdb,"find the number of actors from iran who played in "" jim jarmusch "" movies","select count ( distinct t1.name  ) from cast as t4 join actor as t1 on t4.aid  =  t1.aid join movie as t5 on t5.mid  =  t4.msid join directed_by as t2 on t5.mid  =  t2.msid join director as t3 on t3.did  =  t2.did where t1.nationality  =  ""iran"" and t3.name  =  ""jim jarmusch"";"
yelp,"find the total checkins in "" brighton heights "" neighbourhood","select sum ( t3.count ) from checkin as t3 join business as t1 on t3.business_id  =  t1.business_id join neighbourhood as t2 on t2.business_id  =  t1.business_id where t2.neighbourhood_name  =  ""brighton heights"";"
train_station,find the names of the trains that do not pass any station located in london.,"select t2.name from train_station as t1 join train as t2 on t1.train_id  =  t2.train_id where t1.station_id not in (select t4.station_id from train_station as t3 join station as t4 on t3.station_id  =  t4.station_id where t4.location  =  ""london"")"
car_1,what are the ids and names of all countries that either have more than 3 car makers or produce fiats?,"select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  3 union select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country join model_list as t3 on t2.id  =  t3.maker where t3.model  =  'fiat';"
network_1,what are the ids of high school students who do not have friends?,select id from highschooler except select student_id from friend
scholar,papers about character recognition from before 2010,"select distinct t3.paperid from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""character recognition"" and t3.year  <  2010;"
department_store,what are id and name of the products whose price is lower than 600 or higher than 900?,"select product_id ,  product_name from products where product_price  <  600 or product_price  >  900"
storm_record,show all storm names except for those with at least two affected regions.,select name from storm except select t1.name from storm as t1 join affected_region as t2 on t1.storm_id  =  t2.storm_id group by t1.storm_id having count(*)  >=  2
program_share,what is the number of different channel owners?,select count(distinct owner) from channel
wedding,show the church names for the weddings of all people older than 30.,select t4.name from wedding as t1 join people as t2 on t1.male_id  =  t2.people_id join people as t3 on t1.female_id  =  t3.people_id join church as t4 on t4.church_id  =  t1.church_id where t2.age  >  30 or t3.age  >  30
medicine_enzyme_interaction,what is the maximum omim value in the database?,select max(omim) from enzyme
customers_and_addresses,what are the names of customers who have purchased both products latte and americano?,select t1.customer_name from customers as t1 join customer_orders as t2 on t1.customer_id  =  t2.customer_id join order_items as t3 on t2.order_id  =  t3.order_id join products as t4 on t3.product_id  =  t4.product_id where t4.product_details  =  'latte' intersect select t1.customer_name from customers as t1 join customer_orders as t2 on t1.customer_id  =  t2.customer_id join order_items as t3 on t2.order_id  =  t3.order_id join products as t4 on t3.product_id  =  t4.product_id where t4.product_details  =  'americano'
hr_1,display the employee name ( first name and last name ) and hire date for all employees in the same department as clara.,"select first_name ,  last_name ,  hire_date from employees where department_id  =  (select department_id from employees where first_name  =  ""clara"")"
hospital_1,list the names of all the physicians who prescribe thesisin as medication.,"select distinct t1.name from physician as t1 join prescribes as t2 on t1.employeeid = t2.physician join medication as t3 on t3.code = t2.medication where t3.name  =  ""thesisin"""
restaurants,where are some good arabic restaurants in mountain view ?,"select t2.house_number  ,  t1.name from restaurant as t1 join location as t2 on t1.id  =  t2.restaurant_id where t2.city_name  =  ""mountain view"" and t1.food_type  =  ""arabic"" and t1.rating  >  2.5;"
movie_1,what is the maximum and mininum number of stars a rating can receive?,"select max(stars) ,  min(stars) from rating"
aircraft,what are the name of pilots aged 25 or older?,select name from pilot where age  >=  25
match_season,what are the official languages of the countries of players from maryland or duke college?,"select t1.official_native_language from country as t1 join match_season as t2 on t1.country_id  =  t2.country where t2.college  =  ""maryland"" or t2.college  =  ""duke"""
city_record,which cities have regional population above 8000000 or below 5000000?,select city from city where regional_population  >  10000000 union select city from city where regional_population  <  5000000
climbing,what are the different names of mountains ascended by climbers from the country of west germany?,"select distinct t2.name from climber as t1 join mountain as t2 on t1.mountain_id  =  t2.mountain_id where t1.country  =  ""west germany"""
scientist_1,select the project names which are not assigned yet.,select name from projects where code not in (select project from assignedto)
farm,list the most common type of status across cities.,select status from city group by status order by count(*) desc limit 1
game_1,find the first name and age of the students who are playing both football and lacrosse.,"select fname ,  age from student where stuid in (select stuid from sportsinfo where sportname  =  ""football"" intersect select stuid from sportsinfo where sportname  =  ""lacrosse"")"
tvshow,which country has the most of tv channels? list the country and number of tv channels it has.,"select country ,  count(*) from tv_channel group by country order by count(*) desc limit 1;"
scholar,what articles have been published since 2006 about the effects of juicing for cancer patients ?,"select distinct paperid  ,  title from paper where title like ""the effects of juicing for cancer patients"" and year  >  2006;"
school_player,which team has the oldest player?,select team from player order by age desc limit 1
icfp_1,find the country that the most papers are affiliated with.,select t1.country from inst as t1 join authorship as t2 on t1.instid  =  t2.instid join papers as t3 on t2.paperid  =  t3.paperid group by t1.country order by count(*) desc limit 1
coffee_shop,what is the membership card held by both members living in hartford and ones living in waterbury address?,select membership_card from member where address  =  'hartford' intersect select membership_card from member where address  =  'waterbury'
car_1,which are the car makers which produce at least 2 models and more than 3 car makes? list the id and the maker.,"select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;"
customers_card_transactions,how many credit cards does customer blanche huels have?,"select count(*) from customers_cards as t1 join customers as t2 on t1.customer_id  =  t2.customer_id where t2.customer_first_name  =  ""blanche"" and t2.customer_last_name  =  ""huels"" and t1.card_type_code  =  ""credit"""
sakila_1,return the address and email of the customer with the first name linda.,"select t2.address ,  t1.email from customer as t1 join address as t2 on t2.address_id  =  t1.address_id where t1.first_name  =  'linda'"
concert_singer,find the number of concerts happened in the stadium with the highest capacity.,select count(*) from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id order by t2.capacity desc limit 1
county_public_safety,which police forces operate in both counties that are located in the east and in the west?,"select police_force from county_public_safety where location  =  ""east"" intersect select police_force from county_public_safety where location  =  ""west"""
world_1,"give the name, year of independence, and surface area of the country that has the lowest population.","select name ,  surfacearea ,  indepyear from country order by population limit 1"
roller_coaster,show the names of countries and the average speed of roller coasters from each country.,"select t1.name ,  avg(t2.speed) from country as t1 join roller_coaster as t2 on t1.country_id  =  t2.country_id group by t1.name"
medicine_enzyme_interaction,what are the names of enzymes in descending order?,select name from enzyme order by name desc
flight_1,what is the name and distance for aircraft with id 12?,"select name ,  distance from aircraft where aid  =  12"
